"","","","","","","","","","",""
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32104","01 January 2020","Nasi Putih","","8800","5","44000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32104","01 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32104","01 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32104","01 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32104","01 January 2020","Hot Lemon Tea","","19800","3","59400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32109","01 January 2020","Mie G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32109","01 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32109","01 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32109","01 January 2020","Mie G.B - Bakso Buntut","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32109","01 January 2020","Honeydew Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32109","01 January 2020","Mie G.B - Bakso Buntut","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32110","01 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32110","01 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32110","01 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32110","01 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32110","01 January 2020","Orange Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32110","01 January 2020","Teh O Manis Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32110","01 January 2020","Teh O Tawar Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32111","02 January 2020","Nasi D.Asap - Hati Ampela","","39800","3","119400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32113","02 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32113","02 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32113","02 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32112","02 January 2020","Garang Asem Iga","","59800","1","59800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32112","02 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32112","02 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","5","159000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Lidah + Paru Cak Yo","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Lidah + Paru Cak Yo","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Daging Iga + Lidah Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Nasi G.B - Bakso Buntut","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Nasi G.B - Bakso Buntut","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32115","02 January 2020","Mie G.B - Buntut","","62800","1","62800"
